ID;ID_SETUPMETER;ID_PERIOD;ID_SETUPCONSUMER;ID_LAST_READING;READING_LAST;DATE_LAST;READING_NEXT;DATE_NEXT;KWH;CREATED;UPDATED;ID_USR;COMMENT;TRANS_WORK;ID_TURNOFF_TYPE
4357;291;1;18888;NULL;1754,0000000;NULL;1883,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4358;293;1;5951;NULL;4700,0000000;NULL;4800,0000000;NULL;37,0000000;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4359;296;1;6999;NULL;14988,0000000;NULL;15023,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4360;297;1;6185;NULL;14253,0000000;NULL;14504,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4361;298;1;6671;NULL;94564,0000000;NULL;97867,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4362;299;1;6143;NULL;171560,0000000;NULL;173150,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4363;300;1;7081;NULL;19900,0000000;NULL;20500,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4364;301;1;7451;NULL;8032,0000000;NULL;8134,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4365;302;1;7088;NULL;125823,0000000;NULL;126107,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4366;303;1;7452;NULL;3069,0000000;NULL;3069,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4367;304;1;6974;NULL;4191,0000000;NULL;4315,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4368;306;1;6489;NULL;8776,0000000;NULL;8776,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4369;307;1;8119;NULL;1561,0000000;NULL;1631,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4370;308;1;7581;NULL;22949,0000000;NULL;24032,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4371;309;1;7387;NULL;2774,0000000;NULL;3013,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4372;310;1;28280;NULL;1987,0000000;NULL;1987,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4373;311;1;19006;NULL;13260,0000000;NULL;13260,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4374;312;1;18998;NULL;7520,0000000;NULL;7602,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4375;313;1;16747;NULL;28624,0000000;NULL;28739,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;169;NULL;1;0
4376;314;1;27479;NULL;10917,0000000;NULL;NULL;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;NULL;NULL;1;0
4377;315;1;5881;NULL;24756,0000000;NULL;28215,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4378;316;1;1795;NULL;7725,0000000;NULL;7834,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4379;317;1;5614;NULL;2105,0000000;NULL;2105,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4380;318;1;4000;NULL;6013,0000000;NULL;6552,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;155;NULL;1;0
4381;319;1;16152;NULL;5870,0000000;NULL;NULL;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;171;NULL;1;0
4382;320;1;28983;NULL;14745,0000000;NULL;14930,0000000;NULL;-185,0000000;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4383;321;1;5174;NULL;301,0000000;NULL;301,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;152;NULL;1;0
4384;322;1;5699;NULL;10,0000000;NULL;NULL;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;NULL;NULL;1;0
4385;323;1;29394;NULL;2518,0000000;NULL;2637,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;155;NULL;1;0
